device_type,symptom_1,symptom_2,symptom_3,fault_label
ثلاجة,لا تبرد,صوت مرتفع,درجة حرارة عالية,مشكلة في الكمبروسر
ثلاجة,لا تبرد,لا يعمل,عدم كهرباء,مشكلة في الكهرباء
ثلاجة,لا تبرد,صوت غريب,اهتزاز,مشكلة في الكمبروسر
ثلاجة,لا تبرد,صوت طقطقة,رائحة,مشكلة في الكمبروسر
ثلاجة,لا تبرد,صوت مرتفع,لا يوجد,مشكلة في الكمبروسر
ثلاجة,لا تبرد,برودة ضعيفة,جليد,مشكلة في الكمبروسر
ثلاجة,لا تبرد,هواء دافئ,رطوبة,مشكلة في الكمبروسر
ثلاجة,لا تبرد,صوت طقطقة,اهتزاز,مشكلة في الكمبروسر
ثلاجة,لا تبرد,رائحة غريبة,صوت غريب,مشكلة في الكمبروسر
ثلاجة,لا تبرد,درجة حرارة عالية,لا برودة,مشكلة في الكمبروسر
ثلاجة,تسريب ماء,صوت مرتفع,رطوبة,انسداد فتحة التصريف
ثلاجة,تسريب ماء,ماء تحت الثلاجة,رطوبة,خرطوم التصريف تالف
ثلاجة,تسريب ماء,ماء على الأرض,رطوبة,انسداد فتحة التصريف
ثلاجة,تسريب ماء,رطوبة,صوت غريب,خرطوم التصريف تالف
ثلاجة,تسريب ماء,ماء كثير,لا يوجد,انسداد فتحة التصريف
ثلاجة,صوت مرتفع,اهتزاز,جهاز غير مستو,الجهاز غير مستوٍ
ثلاجة,صوت مرتفع,صوت طقطقة,برودة ضعيفة,مروحة متسخة
ثلاجة,صوت مرتفع,برودة ضعيفة,جليد,مروحة التبريد
ثلاجة,صوت مرتفع,صوت غريب,اهتزاز,مروحة متسخة
ثلاجة,صوت مرتفع,رائحة,حرارة,مروحة متسخة
ثلاجة,صوت مرتفع,لا يوجد,لا يوجد,مروحة متسخة
ثلاجة,تجمد زائد,جليد كثير,برودة زائدة,درجة حرارة منخفضة جداً
ثلاجة,تجمد زائد,صوت مرتفع,ماء متجمد,مروحة التبريد لا تعمل
ثلاجة,تجمد زائد,جليد,برودة,درجة حرارة منخفضة جداً
ثلاجة,تجمد زائد,ماء متجمد,صوت,مروحة التبريد لا تعمل
ثلاجة,توقف عن العمل,لا كهرباء,لا استجابة,عطل في الكمبروسر
ثلاجة,توقف عن العمل,صوت ثم توقف,رائحة احتراق,مشكلة كهربائية
ثلاجة,توقف عن العمل,لا يعمل,لا يوجد,عطل في الكمبروسر
ثلاجة,توقف عن العمل,رائحة,دخان,مشكلة كهربائية
ثلاجة,لا تبرد,صوت مرتفع,درجة حرارة,مشكلة في الكمبروسر
ثلاجة,لا تبرد,اهتزاز,صوت غريب,مشكلة في الكمبروسر
ثلاجة,لا تبرد,رائحة,صوت طقطقة,مشكلة في الكمبروسر
ثلاجة,صوت مرتفع,اهتزاز,صوت طقطقة,الجهاز غير مستوٍ
ثلاجة,صوت مرتفع,جهاز غير مستو,حركة,الجهاز غير مستوٍ
ثلاجة,تسريب ماء,لا يوجد,لا يوجد,انسداد فتحة التصريف
ثلاجة,تجمد زائد,لا يوجد,لا يوجد,درجة حرارة منخفضة جداً
